John Brunner	author	The Infinitive of Go
Ringo Starr	birthPlace	Liverpool
Than Shwe	office	Belgium
Godzilla (1998 film)	starring	Jean Reno
Jim Henson	deathPlace	New York City
Shirin Ebadi	award	Nobel Peace Prize
Heike Kamerlingh Onnes	award	Nobel Prize in Literature
Carlos Boozer	team	New Orleans Hornets
Philip K. Dick	author	Sirius
Camp Rock	starring	Meaghan Jette Martin
Mean Girls	starring	Amanda Seyfried
Charles Édouard Guillaume	award	Nobel Prize in Physics
Charles Maurice de Talleyrand-Périgord	office	France
Nelly Sachs	award	Nobel Prize in Literature
Susannah Harker	spouse	Christel Khalil
Ghostbusters II	starring	Robert Prosky
Navigon	foundationPlace	Colorado Springs
Jerry Pournelle	author	1634: The Ram Rebellion
Ivo Andrić	award	Nobel Prize in Literature
Lleyton Hewitt	birthPlace	Adelaide
Stardock	foundationPlace	Livonia
Paul Biya	office	Cameroon
Hendrik Lorentz	award	Nobel Prize in Physics
Backbone Entertainment	foundationPlace	Vancouver
The Right Stuff (film)	starring	Corbin Bleu
Warren G. Harding	deathPlace	San Francisco
Ben Gordon	team	Philadelphia 76ers
Laisenia Qarase	office	Yemen
George Minot	award	Nobel Prize in Physics
Abdul Qadir Bajamal	office	Lithuania
The Aristocats	starring	Dean Clark (actor)
Benjamin Franklin	deathPlace	Philadelphia
Barry B. Longyear	author	Sea of Glass
Kaspersky Lab	foundationPlace	Moscow
Austin Powers: The Spy Who Shagged Me	starring	Heather Graham
Bill Ransom	author	Broken Angels
Rogue Wave Software	foundationPlace	Melbourne
Douglas Adams	deathPlace	Santa Barbara, California
S3 Group	foundationPlace	Dublin
Gerald Wallace	team	San Antonio Spurs
Raymond Poincaré	office	Japan
Zauber S.A.	foundationPlace	Buenos Aires
Camp Rock	starring	Jasmine Richards
Pablo Neruda	award	Nobel Prize in Literature
Tyson Chandler	team	Dallas Mavericks
Dayton Ward	author	Summon the Thunder
Brian McFadden	spouse	Kelly McGillis
J. G. Ballard	author	Castle Roogna
2012 (film)	starring	Gary Dubin
2012 (film)	starring	Chiwetel Ejiofor
Gregory Benford	author	A Deepness in the Sky
Ian Stewart	author	The Infinitive of Go
Kevin Garnett	team	Toronto Raptors
